Date,Symbol,Extreme_Return
2000-01-04,DRREDDY,0.0800265208022543
2000-01-04,RELIANCE,0.0800556217719508
2000-01-04,SHREECEM,-0.0756756756756756
2000-01-05,ONGC,0.0801258775114983
2000-01-06,BRITANNIA,0.0684754521963824
2000-01-06,GRASIM,0.0800727934485896
2000-01-06,ITC,0.0800055081244834
2000-01-07,BRITANNIA,0.079997454337173
2000-01-07,CIPLA,-0.079876092488107
2000-01-07,DRREDDY,-0.0797147242033041
2000-01-07,GRASIM,0.0800336983993259
2000-01-07,ITC,0.0800076501338773
2000-01-10,ASIANPAINT,0.075965776510241
2000-01-10,BRITANNIA,0.0750736593989394
2000-01-10,ITC,0.080042500442713
2000-01-11,BRITANNIA,-0.0640758605568955
2000-01-11,CIPLA,-0.0760013268098516
2000-01-11,SBIN,-0.0799628942486085
2000-01-12,CIPLA,0.0800089746466232
2000-01-12,IOC,0.0800834202294056
2000-01-13,CIPLA,0.0778211733421969
2000-01-17,HDFCBANK,0.0800846177092777
2000-01-17,HEROMOTOCO,0.0800218432327983
2000-01-17,ITC,-0.0790941355416595
2000-01-18,HDFCBANK,-0.0727476217123671
2000-01-19,DRREDDY,0.0800151687523702
2000-01-19,HDFCBANK,0.0802655401327701
2000-01-24,ASIANPAINT,0.0764353645649875
2000-01-25,ASIANPAINT,0.0791884816753927
2000-01-25,HDFCBANK,0.0800299177262526
2000-01-25,ITC,-0.0793740930027132
2000-01-27,INFY,-0.47618254497002
2000-01-27,ONGC,0.0800316957210776
2000-01-28,ITC,-0.0765872761122167
2000-02-02,SHREECEM,0.0806794055201698
2000-02-03,HDFCBANK,-0.0739754098360656
2000-02-07,DRREDDY,-0.0789953413003848
2000-02-07,HDFCBANK,0.0775278445075344
2000-02-07,ITC,0.0744787922358014
2000-02-08,GRASIM,0.0767479239217787
2000-02-09,ITC,0.0800524074680641
2000-02-10,ITC,0.0800024261539393
2000-02-11,HDFCBANK,-0.0780536246276067
2000-02-11,ITC,0.0800292036392227
2000-02-14,SHREECEM,-0.0798922800718133
2000-02-15,ITC,0.0792986971207978
2000-02-15,SHREECEM,-0.0741463414634145
2000-02-16,HDFCBANK,0.0801845342706502
2000-02-17,CIPLA,0.0799313157329897
2000-02-17,DRREDDY,0.0800101508120649
2000-02-17,GAIL,0.0799656061908855
2000-02-18,DRREDDY,0.0800241683729985
2000-02-18,GAIL,0.0804140127388535
2000-02-18,HINDUNILVR,0.0799080380739563
2000-02-21,GAIL,0.0803242446573324
2000-02-21,GRASIM,-0.0799826439109053
2000-02-21,HINDUNILVR,0.0800039793076006
2000-02-22,GAIL,0.0804911323328787
2000-02-22,GRASIM,-0.0795472409998427
2000-02-22,HDFCBANK,-0.0787634977768367
2000-02-22,HINDUNILVR,0.0800095797792965
2000-02-22,SHREECEM,-0.0722610722610722
2000-02-23,DRREDDY,0.0800067888662592
2000-02-23,HDFC,0.0800784441902271
2000-02-23,ITC,-0.0799426325294805
2000-02-24,GAIL,-0.0800477897252091
2000-02-24,HINDUNILVR,0.073316179283007
2000-02-25,GAIL,-0.0798701298701299
