Portfolio Type,Return,Vol,Sharpe
Conservative (Min Vol),0.18704911848095826,0.15871241019493176,0.8635060000199952
Balanced (Max Sharpe),0.21026535536655622,0.16343358108242978,0.9806145977167592
Aggressive (Max Return),0.22954846465402656,0.18548861380235612,0.9679756669341496
