Volatility,Return,Sharpe
0.18139182893917266,0.21757982381698251,0.9238554172866197
0.18303905470338588,0.17332697052304483,0.6737740791051162
0.1790070370534871,0.16182432764314997,0.6246923555845292
0.18881406335548587,0.19236308945255892,0.753985624389258
0.19348087287482793,0.17316498637766117,0.6365744817439526
0.16974146793515812,0.16571034192574732,0.6816857620787697
0.17495591712691055,0.17003216465450205,0.6860709064640118
0.1866034513377171,0.19441973460924186,0.7739392469642447
0.18455031652166864,0.1833890481141461,0.7227787555622234
0.16806283485151982,0.1823994566904913,0.7877973545279275
0.18185106519874514,0.18149783562834237,0.7231073157840914
0.171840712548463,0.17567062263969807,0.7313204232917511
0.1782099068383603,0.17985402282904683,0.7286577111946243
0.1858251825149096,0.19635004311706705,0.7875684077712382
0.18509848874137472,0.1957380415746124,0.7873540327940876
0.18036629324524622,0.18263529251753097,0.7353662933970992
0.18128211495326613,0.2070150952970465,0.8661367136935952
0.18433749459441268,0.1753877776048731,0.680207669528962
0.183109552503351,0.18727447903026348,0.7496849681162935
0.18189471103471166,0.20326810022027214,0.8426198834941573
0.1863260030538086,0.16541187161512266,0.6194082936550364
0.18663740221318587,0.1781302396912922,0.686519626676629
0.18935874148632634,0.1991179843036431,0.7874893080360431
0.1820776501761542,0.16982644656125412,0.6581062884177488
0.19246326226118982,0.18956310778504257,0.7251415472509396
0.19530609237157348,0.18576313021961804,0.6951300318954012
0.1762938579664024,0.17621730921245923,0.7159484208265121
0.18918158654833384,0.18635416708397526,0.7207581328172139
0.16956230044589046,0.21093710889535472,0.9491326106814165
0.18888313395889206,0.17560211110873478,0.6649726128330252
0.16632901531228772,0.17852147982912595,0.7726942866091222
0.19639781085594765,0.16444873412630875,0.5827393575697936
0.17570422606803077,0.18506391314929896,0.7687004244109852
0.17809690275159262,0.17080482776109113,0.6783095376430449
0.18426096145543147,0.1975485709358134,0.80075871617278
0.18544147811780806,0.18018889746360173,0.7020484240364757
0.17150928168850718,0.18362894862327328,0.7791353756933597
0.17670829216542286,0.145936360055177,0.5429080824648997
0.16543826270438913,0.18846929771715734,0.8369847183694084
0.20987987845240344,0.1699574416600327,0.5715528451062861
0.18168311120429378,0.18137598189878168,0.7231050868071927
0.1777133573672833,0.18520762051934822,0.7608185592932795
0.1769777835183141,0.1907031709910458,0.7950329594702233
0.18155930082757765,0.19410077230256678,0.7936843314869102
0.17335123484262066,0.18563295503458468,0.7824170110915042
0.17782585308340784,0.16652316774248316,0.65526561926757
0.18558789998243,0.19088753232890698,0.7591417993427649
0.16748984929897276,0.1729443243786509,0.7340404501719552
0.16309594748950682,0.18199817130715004,0.809328333039314
0.17404765441924258,0.18217623839666408,0.7594255655883794
0.19569682196686797,0.19513472574434979,0.7416304684238638
0.1887884191342026,0.17214726000746539,0.6470061064531478
0.1828313194893616,0.17901652976961677,0.7056588014020422
0.1673282981376404,0.1884514000172616,0.827423702734218
0.17589234679546872,0.16945280941464116,0.6791245417490698
0.17002605930826833,0.16491755005444222,0.6758819825735607
0.1902450308514429,0.20366833124471723,0.80773900141819
0.1885310126309479,0.1624574742015635,0.5964932380737835
0.18470888286369863,0.18282836983293,0.7191228043480044
0.19477415724875155,0.19792760015166425,0.7594826862104799
0.1836510817137677,0.1545211553004004,0.5691289935514973
0.18457747395087795,0.19760314143794425,0.7996812302091978
0.18582179355400608,0.2012877436416875,0.8141550070536705
0.18874107848461805,0.17194558051951414,0.646099839518785
0.18374682493386704,0.18317946721705183,0.7247987401414141
0.18494204354661467,0.15594766989468326,0.5728695750459745
0.18297053911765562,0.17992872232717055,0.7101073372452734
0.19382254011793484,0.18336494648531354,0.6880775909972351
0.1875139042269162,0.18923657130800833,0.7425399832724616
0.19604936765930084,0.17360121783625945,0.6304596608087842
0.17434077765571643,0.17537494325864558,0.7191372262101108
0.18621300971311203,0.15480376349935693,0.5628165489662738
0.17705602917185687,0.17219810680488576,0.6901663127567146
0.2088282541810087,0.1965634317057986,0.7018371737129018
0.16718310720034682,0.1775604951455953,0.7629987101073014
0.1743878648355381,0.15658427286527812,0.6111908816923456
0.17838305190226533,0.17835844865763437,0.7195663897933584
0.16748332039537348,0.1859370771603542,0.8116454631986701
0.18284979462834014,0.17417300513936096,0.679098411850856
0.1720283850002359,0.1823651054432749,0.7694375869603925
0.1882128608584498,0.15610100332602833,0.5637287634973268
0.18314582529425982,0.17484014476164808,0.6816434093491774
0.1765273731516476,0.17375518307805754,0.7010537848526439
0.18046977589188073,0.1535263724261428,0.573649365465857
0.17839697680709365,0.19921608798962967,0.8364272234892286
0.1921895056618526,0.1771851833514159,0.6617696575753286
0.18086768586214036,0.170281671995592,0.6650257696517011
0.1824865960698169,0.19677826623001712,0.8043235469955379
0.18160205319839423,0.17714437388469884,0.7001263016877779
0.19571811614964885,0.19872249791784063,0.7598811026983588
0.17821201610849258,0.16442950697522798,0.6420975951787963
0.17493163904534537,0.1893396571947897,0.796537767297032
0.19852968797142756,0.18055269789436093,0.6575978596871118
0.17327479435994864,0.17202449487186458,0.7042253047975324
0.18617525990707015,0.15339376221160594,0.5553571525197021
0.17388416390738443,0.18394668366083353,0.7703213487122224
0.1844629277912072,0.1940605317270808,0.7809728136275831
0.17870796353270096,0.17160026507744344,0.6804412219447197
0.1847355985323624,0.19624180822894718,0.7916276526601785
0.178573063937944,0.16330760707444986,0.634516788678865
